Loan,Amount,Fico,Dti,IsExpensive,IsCalifornia,IsCashout,IsPrimary,PropOcc,PropState,PropType,Purpose
103416586,403500,703,31.246,0,0,1,1,Primary,WA,SFR_Dt,Cashout
103416770,594100,691,48.497,1,1,1,1,Primary,CA,SFR_Dt,Cashout
103416930,366939,723,38.649,0,0,0,1,Primary,VA,Det Condo,Rate/Term
103417434,250000,628,44.404,0,0,1,1,Primary,LA,SFR_At,Cashout
103417503,452000,807,41.555,0,0,0,1,Primary,HI,SFR_At,Rate/Term
103417629,417600,700,49.782,0,0,1,1,Primary,FL,SFR_Dt,Cashout
103417902,320000,762,37.984,0,0,1,1,Primary,FL,SFR_At,Cashout
103418312,272000,727,49.902,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103418685,60000,650,15.919,0,0,1,1,Primary,TN,SFR_Dt,Cashout
103418846,617000,795,43.812,1,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103418858,460000,785,42.894,0,0,1,1,Primary,TX,SFR_Dt,Cashout
103419001,60000,768,40.045,0,0,1,1,Primary,NY,SFR_Dt,Cashout
103419056,151000,814,31.344,0,0,1,1,Primary,TX,SFR_Dt,Cashout
103419317,200000,725,45.091,0,1,1,1,Primary,CA,SFR_Dt,Cashout
103419571,193000,753,28.915,0,0,0,1,Primary,MN,SFR_Dt,Rate/Term
103419654,271850,772,38.404,0,0,0,0,NOO,NV,SFR_Dt,Rate/Term
103419765,120000,667,40.239,0,1,1,1,Primary,CA,SFR_Dt,Cashout
103419785,484350,727,18.506,0,0,0,1,Primary,OR,SFR_At,Rate/Term
103420030,170000,677,32.607,0,0,1,1,Primary,FL,SFR_Dt,Cashout
103420533,330000,685,47.045,0,0,1,1,Primary,MA,CondoLo,Cashout
103420744,285000,787,47.174,0,0,1,1,Primary,MI,SFR_Dt,Cashout
103420768,84600,673,27.704,0,0,1,1,Primary,TX,SFR_Dt,Cashout
103420804,176250,798,23.763,0,0,1,1,Primary,AL,CondoLo,Cashout
103420814,189700,697,44.848,0,0,0,1,Primary,IL,CondoMid,Rate/Term
